timestamp,imu:accel.x,imu:accel.y,imu:accel.z,imu:gyro.x,imu:gyro.y,imu:gyro.z,imu:temperature,bme280:temperature,bme280:humidity,bme280:pressure
188351,-0.295044,1.34082,0.485962,225.3418,20.69092,-26.42822,193.4375,,,
188407,-0.434326,0.78186,0.432617,33.14209,26.9165,-125.9766,192.625,,,
188463,-0.457764,0.603638,0.365479,9.094238,21.05713,-181.2744,193.5625,,,
188519,-0.493286,1.021729,0.180786,25.32959,-33.08105,-130.249,193.0625,,,
188575,-0.394043,0.758301,0.432373,44.92188,-71.96045,-318.3594,193,,,
188633,-0.37085,0.098755,0.477783,-33.5083,16.23535,-417.0532,193.375,,,
188689,-0.241089,-0.818481,0.425171,35.5835,18.37158,-461.3647,193.5,,,
188745,-0.505615,-1.48938,0.392334,87.52441,-7.8125,-227.5391,193.25,,,
188801,-0.517822,-1.241333,0.623901,-69.15283,-55.84717,-16.17432,193.9375,,,
188857,-0.496948,-1.3927,0.703369,-68.17627,56.57959,91.00342,193.0625,,,
188913,-0.503174,-0.81665,0.758667,-90.33203,181.6406,106.7505,193.5625,,,
188969,-0.450562,-0.783936,-0.06543,-98.2666,216.1865,196.6553,192.75,,,
189025,-0.588501,-0.407227,-0.474121,-137.5732,81.05469,191.8335,192.0625,,,
189081,-0.670776,0.049561,-0.494995,-181.2744,-47.97363,228.4546,186.4375,,,
189137,-0.784424,0.176514,-0.055176,-110.4126,-154.9072,168.5791,193.125,,,
189193,-0.849243,0.420532,0.334229,58.77686,-75.62256,129.5166,193.4375,,,
189249,-0.858032,0.546509,0.171631,2.258301,-16.47949,56.9458,192.5,,,
189305,-0.889282,0.788574,0.271118,1.220703,-3.173828,-9.277344,192.625,,,
189361,-0.760742,0.745361,0.086914,55.11475,-30.09033,-96.80176,193.3125,,,
189417,-0.626953,0.625977,0.193726,66.16211,-16.23535,-246.2769,192.4375,,,
189473,-0.557739,-0.09668,0.075073,117.8589,-23.86475,-300.9644,194.25,,,
189529,-0.624023,-0.938843,0.359375,89.47754,-14.70947,-325.9277,193.375,,,
189585,-0.756836,-1.687256,0.182129,-0.915527,63.7207,-114.3188,193.625,,,
189641,-0.696533,-0.94104,-0.015869,-43.70117,32.40967,86.79199,193.625,,,
189697,-0.778931,-1.238525,0.008545,32.53174,18.37158,58.04443,193.25,,,
189753,-0.572754,-1.340088,0.127808,-86.48682,36.43799,303.4668,193.1875,,,
189809,-0.443848,-0.237183,-0.098389,-219.5435,-39.85596,353.1494,193.8125,,,
189865,-0.256958,0.299438,0.250366,-293.0908,-181.2744,353.8208,193.6875,,,
189921,-0.087402,0.857178,0.87439,-222.8394,-255.127,256.4087,190,,,
189977,-0.251587,1.193237,1.251221,130.188,115.3564,-10.43701,194.375,,,
190033,-0.370605,0.851807,0.469971,166.5039,61.40137,-135.1318,193.5,,,
190089,-0.449951,0.973511,0.041138,-11.96289,17.02881,-102.1729,192.8125,,,
190145,-0.449097,0.922119,0.125854,-20.56885,-17.08984,-251.77,192.5,,,
190201,-0.468384,0.245728,0.450806,79.04053,-34.42383,-295.166,193.375,,,
190257,-0.518799,-0.21167,0.358521,40.58838,40.95459,-333.5571,193.5,,,
190389,-0.643433,-1.537231,0.150024,53.89404,31.49414,-134.8877,192.375,,,
190445,-0.579346,-1.06311,0.167969,-26.42822,6.286621,29.05273,194.0625,,,
